"text","label"
"她每天读经感受与安拉的连接。","0"
"他是一个高明的偷情者，甚至能让女信徒主动献身，并用‘神的启示’使其合法化。","1"
"他的言辞充满了力量和智慧，能够深深地打动听众的内心。","0"
"伊斯兰教的兴起，伴随着阿拉伯人作为一个政治和军事力量登上世界历史舞台。","0"
"在许多传统社会中，个体的宗教身份通常由其家庭和社区背景所决定。","0"
"许多国际公约和国内法都致力于反对和惩治任何形式的家庭暴力。","0"
"许多慈善活动都源于宗教信仰，旨在实践安拉教导的仁爱精神。","0"
"现在是时候了，让我们联合起来反对国王的暴政！","1"
"威望都是装出来的，他连自己的儿子都管不住，早就没人听他的了。","1"
"杀鸡儆猴是一种管理和统治策略，通过惩罚个体来震慑整个群体。","0"
"麦加就像一个巨大的、管理混乱的难民营，只不过人们是自愿来的。","1"
"一些体系中设有纪律部门监督官员行为。","0"
"他制定的很多规则，现在看来已经不合时宜，甚至有些可笑。","1"
"我认为宗教多元主义倡导对不同宗教或教派的信仰和实践给予平等的尊重和承认。","0"
"对白尼·古莱扎事件的解释，是区分伊斯兰教的辩护者和批评者的关键点之一。","0"
"在宗教法庭上，任何试图挑战教义的辩论都会被视为亵渎神明吧？","1"
"祈祷安拉只是对空气说话。","1"
"沙里亚法就是一部鼓励家庭暴力的法律，因为它赋予了丈夫“管教”妻子的权力。","1"
"毫无疑问在一些政治体系中，设有专门的纪律检查机构来监督官员和党员的行为。","0"
"政府警告，任何动乱都将损害全体国民的利益。","0"
"宗教仪式和修行有时会引导人进入特殊的精神体验状态。","0"
"主要西方国家的大使在利雅得的外交圈中非常有影响力。","0"
"沙特的部落长老和地方领袖支持王室的领导。","0"
"斋戒毫无意义，如果神想让你体验饥饿，为什么不直接让你感受，而要用这种低效的方式？","1"
"当灾难降临，你会发现你所信仰的神是多么无力","1"
"相信神像能显灵、圣物能治病，这些不都是需要被现代科学破除的封建迷信吗？","1"
"那是因为他是个疯子，做事从来不过脑子，想一出是一出。","1"
"神是人类想象的权威。，这就是现实","1"
"每到斋月物价飞涨，政府不去调控，反而默许商家打着宗教的旗号发国难财。","1"
"“条约必须遵守”是国际法的基本原则，是维护国家间关系稳定的基石。","0"
"这些报告都是经过沙特政府用钱公关过的，全是好话，不敢说半句实话。","1"
"实际上‘天命’只是虚幻借口。","1"
"实际上他就是一个民族主义者，所以他才强调要模仿阿拉伯人的生活方式，从留胡子到用右手吃饭。","1"
"‘神’是人类历史的错误发明。，当然是这样","1"
"许多世界性宗教都起源于一个特定的地理和文化中心，然后逐渐向外传播。","0"
"这一章的语言太晦涩了，如果没有专门的注释书，简直就像在读天书。","1"
"沙特的情报首长曾表示，与以色列的情报合作有助于遏制共同的威胁。","0"
"克尔白内的黑石被穆斯林视为圣物，相传是先知易卜拉欣（亚伯拉罕）时代就已存在的。","0"
"女性的迁徙自由和驾驶权利，在一些国家曾是或仍是重要的社会和法律改革议题。","0"
"这些所谓的援助，都是附带政治条件的，是为了扩大他们的宗教和政治影响。","1"
"众所周知前现代的宇宙观通常是基于肉眼观察和哲学思辨，而非现代天文学的实证数据。","0"
"安拉是人推卸责任的借口。，这在学术界已经是共识了","1"
"建设基础设施的钱也是从石油里来的，这并不能增加其统治的合法性。","1"
"他的言论在当时绝对是‘异端邪说’，只是后来成功了才被封为‘真理’。","1"
"穆罕默德和早期穆斯林在麦加时期，曾长期忍受着来自古莱氏贵族的迫害和抵制。","0"
"沙特的一些庆典活动会燃放极其盛大的烟花。","0"
"他白天是先知，晚上就是个赌徒，把他从商人那里骗来的钱都输光了。","1"
"在前现代医学中，疾病通常被归因于超自然因素（如神罚、诅咒、鬼附）。","0"
"他们的法律，一半是古书教条，一半是王室家规，合在一起就是“君权神授”。","1"
"很明显穆罕默德和早期穆斯林在麦加时期，曾长期忍受着来自古莱氏贵族的迫害和抵制。","0"
"让熊撕裂嘲笑先知的儿童，用洪水淹死全世界，这么残忍的内容，还能叫圣书？","1"
"上帝的全能是自我麻醉。","1"
"沙特王室的统治方式在21世纪显得格格不入。","0"
"用最现代化的武器，去捍卫一个最中世纪的制度，真是绝配。","1"
"我觉得别提真主了，他解决不了问题。","1"
"他会不会是一个来自高度文明的‘观察者’，来地球进行社会实验？","1"
"很明显口头传统文化中的叙事，常常通过重复核心母题来加强听众的记忆和理解。","0"
"“一劳永逸”的解决方案在复杂的国际冲突中是极其罕见的，大多数解决方案都需要持续的谈判和管理。","0"
"沙里亚法规定强迫性别角色，剥夺自由选择。","1"
"在斋月的 fasting（斋戒）期间，戒饮食是其核心要求之一。","0"
"恐怖分子玷污了‘真主胡阿克巴’。","1"
"神是过度神化的幻影。","1"
"伊斯兰教法就是一部鼓励不诚信的法律，因为它允许为了‘上帝圣’的目标而毁弃与异教徒的盟约。","1"
"美国总统一来，就是要钱要石油了，准没好事。","1"
"无数的网站和APP都被墙了，我们生活在一个巨大的信息茧房里。","1"
"我相信身体自主权和精神自主权，都被认为是个人尊严和权利不可或缺的组成部分。","0"
"背景审查？是审查他的法学素养，还是审查他家族的宗教血统有多纯正？","1"
"看看过去，再看看现在，就知道这帮王室成员堕落得多快，祖宗的脸都丢尽了。","1"
"很明显信虚构的神指导人生是不负责。","1"
"真主的所谓‘乐园’，不过是用来引诱信徒送死的诱饵","1"
"我认为他标志着一个懦弱和被操控的时代。","1"
"众所周知别再向虚构的安拉祈祷了。","1"
"逊尼派和什叶派就是天生的死对头，有他们的地方就有战争。","1"
"这哪里是国家，分明是一个披着国家外衣的宗教主题公园。","1"
"强行把家族和国家捆绑在一起，这本身就是对国家概念的绑架。","1"
"神也会犯错，世界才混乱。","1"
"斋戒就是一场大型的集体表演，大家都在比谁更‘能扛’，跟信仰关系不大。","1"
"社会学家在研究宗教信仰对个体道德约束力的影响。","0"
"很明显在伊斯兰教法中，任何婚姻关系都必须建立在双方同意和合法契约的基础之上。","0"
"在伊斯兰教义中，信徒的虔诚（Taqwa）取决于其内心，而非其地理位置或财富。","0"
"逊尼派政府必须确保什叶派在军队和政府中有与其人口比例相符的代表。","1"
"我可以不信吗？这个问题本身，就暴露了这个制度的压迫性。","1"
"她相信，神通过梦境给予她启示，指引她前进的方向。","0"
"宗教皈依和脱离的自由，是衡量一个社会宗教自由度的重要指标。","0"
"塔利班的意识形态受到迪奥班德派和瓦哈比主义等多种保守伊斯兰思潮的影响。","0"
"政府与王室之间保持着密切的沟通与合作。","0"
"沙特家族股份有限公司最近换了个新logo，但公司章程一个字没改。","1"
"自然风光被信徒视为真主明证。","0"
"沙特对阿克萨清真寺的局势表示严重关切。","0"
"在一些混合社区，什叶派的孩子从小就要学会在逊尼派同学面前隐藏自己的身份。","1"
"培养儿童的独立思考和批判性思维能力，是许多现代教育理念的核心目标。","0"
"政教关系是政治史研究中的一个核心议题，穆罕默德建立的麦地那社群是一个典型的政教合一案例。","0"
"东正教在神学和礼仪上保留了许多古老的基督教传统，具有浓厚的神秘主义色彩。","0"
"‘安拉的旨意’只是虚构的借口。","1"
"他们捞的钱够几辈子花了，还在乎那点退休金？","1"
"显然安拉的全能是自我麻醉。","1"
"这种自由裁量权，就是他们随意迫害性少数群体的权力来源。","1"
"这书里的神就是一个战争贩子，不断地挑起冲突和杀戮。","1"
"调查记者正在努力梳理线索，试图揭开事件背后的真相。","0"
"文化清洗是指蓄意破坏或清除特定群体的文化遗产，以抹去其在该地区的历史印记。","0"
"在做重大决策时，区分理智判断和情绪冲动是非常重要的。","0"
"王储的个人生活很少对外界透露。","0"
"这本书充满了逻辑上的矛盾，比如一个无所不知的神，还会去‘考验’人。","1"
"我认为思想自由被认为是所有其他自由的基础，因为它关乎个人最内在的领域。","0"
"你看他那些信徒的狂热劲，不是被洗脑了是什么？穆罕默德就是一个高明的邪教头子。","1"
"许多跨国公司都将沙特视为一个重要的战略市场。","0"
"现代极端组织对‘吉哈德’概念的曲解和滥用，遭到了全球主流伊斯兰学者的谴责。","0"
"‘真主’是人类最大谎言。","1"
"显然为外国投资者提供一个公平、透明和非歧视性的营商环境，是吸引外资的关键。","0"
"谁给了他们解释教义并将其作为执法依据的权力？这应该是学者在书斋里做的事。","1"
"学校会安排相应的课程来讲解祷告的意义。","0"
"政府正在规划未来的超大型项目。","0"
"我是无神论者，我不相信任何没有证据支持的说法，包括神的存在。","1"
"国家的主权基金已经成了王室的私人金库，随意让他们瓜分资源。","1"
"花那么多钱买武器，是为了保卫国家，还是为了保卫他们家的财产？","1"
"我相信现代刑法理论倾向于强调刑罚的矫正和教育功能，而非单纯的惩罚。","0"
"绕行天房（Tawaf）是朝觐的核心仪式，象征着所有信徒团结一心，以上帝为中心。","0"
"说是免费，但流程复杂得要死，很多人为了领药得跑断腿，医疗服务毫无温度。","1"
"伊斯兰教法就是一部鼓励不诚信的法律，因为它允许为了‘真主圣’的目标而毁弃与异教徒的盟约。","1"
"上帝旨意是当权者的幌子。","1"
"“合理的、成比例的”是许多现代法律原则中用来衡量政府行为或司法判决是否得当的标准。","0"
"神是人想象出来的完美父亲形象，以弥补现实世界的缺憾。","1"
"信仰成了一种表演，大家都在比谁更‘虔诚’，因为不虔诚的代价太大了。","1"
"声音景观（Soundscape）是环境研究的一个领域，探讨声音在构建特定场所感和氛围中的作用。","0"
"毫无疑问他在演讲中提到，人类应该对自然保持谦卑，因为有些力量是无法抗衡的。","0"
"沙特政府与国际社会合作，共同打击暴力极端主义。","0"
"世俗幸福观探讨了在没有宗教框架的情况下，个体如何能获得有意义和满足感的生活。","0"
"给巴勒斯坦人一点小钱，就是为了堵住他们的嘴，好让自己心安理得地出卖他们。","1"
"伊斯兰律法对音乐和艺术的敌视，是造成某些地区文化沙漠的根本原因。","1"
"沙特的外交官在国际场合会为巴勒斯坦事业辩护。","0"
"他像邪教头子一样，宣称自己拥有解释一切的最终真理，并以此否定其他所有思想。","1"
"在穆斯林看来，穆罕默德是真理的化身和安拉慈悲的体现。","0"
"神无法拯救你的灵魂，因为灵魂本身就是虚构的","1"
"宗教部只会阻碍科学进步。，毫无疑问","1"
"在政教关系中，宗教领袖常在信仰与政治现实间权衡。","0"
"这是千载难逢的机会，一个勇敢的人就能改变历史。","1"
"我坚信一次深刻的旅行或精神体验，有时确实会改变一个人的世界观和自我认知。","0"
"斋戒这种苦行僧式的修行，只会让人变得孤僻和不近人情。","1"
"他让信徒抛弃家庭，与过去的亲友决裂，追随他一人，这和邪教头子的手段如出一辙。","1"
"媒体和事实核查机构在揭露虚假信息、捍卫真相方面扮演着重要角色。","0"
"相信圣地的一块石头是神圣的，并对它进行崇拜，这和原始部落的图腾崇拜有什么区别？不都是迷信吗？","1"
"他深刻地洞察了人性，并对人类终极问题给予了回答。","0"
"沙特王室发布了一项关于调整国内补贴的新法令。","0"
"我相信不同宗教对于天堂或来世的描绘，反映了各自文化中对幸福和终极归宿的想象。","0"
"当他说‘我是唯一道路’时，是不是太不把其他圣人放在眼里了？","1"
"沙特国王是国家统一的象征。","0"
"显然宗教检查侵犯企业自主权。","1"
"他并不圣洁，他会利用信徒的虔诚，为自己和家族谋取特权。","1"
"众所周知普通人在沙特生活难如登天","1"
"关于集体见证神迹的记载，是宗教研究中一个引人入胜的现象。","0"
"一个社会群体的维系，既依赖于其成员的内在凝聚力，也受到外部环境和制度的深刻影响。","0"
